"Date","Price","Open","High","Low","Vol.","Change %"
"02/04/2025","4,107.05","4,083.70","4,118.85","4,066.05","2.55M","0.94%"
"02/03/2025","4,068.65","4,030.90","4,077.00","3,998.70","1.27M","-0.11%"
"02/01/2025","4,073.15","4,113.00","4,135.90","4,056.00","437.17K","-0.95%"
"01/31/2025","4,112.40","4,110.00","4,128.45","4,085.25","1.49M","0.30%"
"01/30/2025","4,100.05","4,099.90","4,129.90","4,058.50","1.53M","0.01%"
"01/29/2025","4,099.80","4,054.00","4,107.85","4,054.00","1.22M","1.47%"
"01/28/2025","4,040.30","4,070.80","4,102.00","4,028.30","2.47M","-0.61%"
"01/27/2025","4,065.15","4,102.00","4,156.35","4,041.05","1.55M","-2.10%"
"01/24/2025","4,152.35","4,104.00","4,178.00","4,104.00","1.91M","0.17%"
"01/23/2025","4,145.45","4,168.00","4,191.35","4,140.05","1.82M","-0.27%"
"01/22/2025","4,156.60","4,050.00","4,163.15","4,044.20","2.41M","2.99%"
"01/21/2025","4,035.85","4,095.30","4,111.00","4,030.00","1.97M","-1.03%"
"01/20/2025","4,077.80","4,145.80","4,145.80","4,068.10","1.29M","-1.13%"
"01/17/2025","4,124.30","4,159.90","4,160.60","4,100.05","1.76M","-0.39%"
"01/16/2025","4,140.30","4,193.16","4,226.62","4,126.08","2.64M","-1.02%"
"01/15/2025","4,182.92","4,151.82","4,189.66","4,141.43","1.65M","0.39%"
"01/14/2025","4,166.63","4,234.50","4,246.21","4,152.85","3.44M","-1.35%"
"01/13/2025","4,223.77","4,178.39","4,255.12","4,161.07","4.00M","0.60%"
"01/10/2025","4,198.72","4,134.10","4,229.58","4,104.57","7.89M","3.96%"
"01/09/2025","4,038.85","4,101.00","4,137.75","4,025.30","2.39M","-1.69%"
"01/08/2025","4,108.40","4,034.90","4,126.00","4,017.75","2.18M","1.99%"
"01/07/2025","4,028.30","4,114.95","4,140.35","4,011.55","2.67M","-1.63%"
"01/06/2025","4,095.00","4,105.50","4,149.65","4,066.40","2.09M","-0.12%"
"01/03/2025","4,099.90","4,179.95","4,179.95","4,092.30","1.79M","-1.82%"
"01/02/2025","4,175.75","4,120.00","4,183.00","4,096.95","1.72M","1.54%"
"01/01/2025","4,112.45","4,094.40","4,134.00","4,085.45","763.16K","0.43%"
"12/31/2024","4,094.80","4,135.00","4,139.95","4,032.05","1.56M","-1.54%"
"12/30/2024","4,158.80","4,151.00","4,199.30","4,112.00","1.53M","-0.15%"
"12/27/2024","4,164.85","4,163.00","4,180.95","4,147.25","858.10K","-0.10%"
"12/26/2024","4,169.10","4,179.50","4,199.95","4,143.15","1.21M","-0.25%"
"12/24/2024","4,179.50","4,158.30","4,218.00","4,158.30","1.18M","0.51%"
